Holiday_ID,countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,Month
25667,Finland,Helluntaipäivä,Helluntaipäivä,NULL,FI,6/9/2019,6
25668,Hungary,Pünkösd,Pünkösd,NULL,HU,6/9/2019,6
25670,Norway,"Første pinsedag, Søndag","Første pinsedag, Søndag",NULL,NO,6/9/2019,6
25671,Poland,Zielone ?wi?tki,Zielone ?wi?tki,NULL,PL,6/9/2019,6
25674,Austria,Pfingstmontag,Pfingstmontag,NULL,AT,6/10/2019,6
25675,Belgium,Pinkstermaandag,Pinkstermaandag,NULL,BE,6/10/2019,6
25677,France,Lundi de Pentecôte,Lundi de Pentecôte,NULL,FR,6/10/2019,6
25678,Germany,Pfingstmontag,Pfingstmontag,NULL,DE,6/10/2019,6
25679,Hungary,Pünkösdhétf?,Pünkösdhétf?,NULL,HU,6/10/2019,6
25681,Norway,Andre pinsedag,Andre pinsedag,NULL,NO,6/10/2019,6
25682,Portugal,Dia de Portugal,Dia de Portugal,NULL,PT,6/10/2019,6
25684,Norway,Søndag,Søndag,NULL,NO,6/16/2019,6
25691,Austria,Fronleichnam,Fronleichnam,NULL,AT,6/20/2019,6
25693,Croatia,Tijelovo,Tijelovo,NULL,HR,6/20/2019,6
25694,Poland,Dzie? Bo?ego Cia?a,Dzie? Bo?ego Cia?a,NULL,PL,6/20/2019,6
25695,Portugal,Corpo de Deus,Corpo de Deus,NULL,PT,6/20/2019,6
25696,Finland,Juhannusaatto,Juhannusaatto,NULL,FI,6/21/2019,6
25698,Croatia,Dan antifašisti?ke borbe,Dan antifašisti?ke borbe,NULL,HR,6/22/2019,6
25699,Finland,Juhannuspäivä,Juhannuspäivä,NULL,FI,6/22/2019,6
25701,Norway,Søndag,Søndag,NULL,NO,6/23/2019,6
25704,Croatia,Dan državnosti,Dan državnosti,NULL,HR,6/25/2019,6
25707,Norway,Søndag,Søndag,NULL,NO,6/30/2019,6
25716,Norway,Søndag,Søndag,NULL,NO,7/7/2019,7
25721,France,Fête nationale,Fête nationale,NULL,FR,7/14/2019,7
25722,Norway,Søndag,Søndag,NULL,NO,7/14/2019,7
25725,Belgium,Nationale feestdag,Nationale feestdag,NULL,BE,7/21/2019,7
25726,Norway,Søndag,Søndag,NULL,NO,7/21/2019,7
25728,Norway,Søndag,Søndag,NULL,NO,7/28/2019,7
25731,Norway,Søndag,Søndag,NULL,NO,8/4/2019,8
25734,Croatia,Dan pobjede i domovinske zahvalnosti,Dan pobjede i domovinske zahvalnosti,NULL,HR,8/5/2019,8
25736,Scotland,Summer Bank Holiday,Summer Bank Holiday,NULL,NULL,8/5/2019,8
25741,Norway,Søndag,Søndag,NULL,NO,8/11/2019,8
25744,Austria,Mariä Himmelfahrt,Mariä Himmelfahrt,NULL,AT,8/15/2019,8
25745,Belgium,O.L.V. Hemelvaart,O.L.V. Hemelvaart,NULL,BE,8/15/2019,8
25746,Croatia,Velika Gospa,Velika Gospa,NULL,HR,8/15/2019,8
25747,France,Assomption,Assomption,NULL,FR,8/15/2019,8
25749,Italy,Assunzione della Vergine,Assunzione della Vergine,NULL,IT,8/15/2019,8
25750,Poland,Wniebowzi?cie Naj?wi?tszej Marii Panny,Wniebowzi?cie Naj?wi?tszej Marii Panny,NULL,PL,8/15/2019,8
25751,Portugal,Assunção de Nossa Senhora,Assunção de Nossa Senhora,NULL,PT,8/15/2019,8
25753,Spain,Asunción de la Virgen,Asunción de la Virgen,NULL,ES,8/15/2019,8
25755,Norway,Søndag,Søndag,NULL,NO,8/18/2019,8
25758,Hungary,Az államalapítás ünnepe el?tti pihen?nap,Az államalapítás ünnepe el?tti pihen?nap,NULL,HU,8/19/2019,8
25759,Hungary,Az államalapítás ünnepe,Az államalapítás ünnepe,NULL,HU,8/20/2019,8
25761,Norway,Søndag,Søndag,NULL,NO,8/25/2019,8
25763,England,Late Summer Bank Holiday,Late Summer Bank Holiday,NULL,NULL,8/26/2019,8
